question,choices,answer_idx,source
What type of treatment is necessary for anaphylaxis?,"[""outpatient"", ""allergy shot"", ""intensive care"", ""emergency""]",3,sciq
Oxygen is an element in what form of matter?,"[""gas"", ""solid"", ""plasma"", ""liquid""]",0,sciq
The purpose of scientific investigations generally is to test a what?,"[""hypothesis"", ""question"", ""suggestion"", ""theory""]",0,sciq
Which of the following would have best aided a vessel at sea in crossing the sea in the 18th century?,"[""A radar system"", ""An old soothsayer"", ""An experienced navigator"", ""A crow's nest""]",2,openbookqa
What three primary colors of light can be distinguished by the human eye?,"[""blue, red, orange"", ""yellow, green, blue"", ""red, green, blue"", ""red, green, yellow""]",2,sciq
"A student wrote the following claim on a homework assignment: ""Eukaryotic cells need more lipids than prokaryotic cells."" Which statement below provides the BEST support for her claim?","[""Eukaryotic cells have a nucleus."", ""Eukaryotic cells make up multicellular organisms."", ""Eukaryotic cells contain membrane-bound organelles."", ""Eukaryotic cells perform cellular respiration.""]",2,arc_easy
What kind of radiation is observed in honeycreeper birds?,"[""adaptive"", ""symbiotic"", ""destructive"", ""spontaneous""]",0,sciq
tuna swim extremely fast to catch,"[""sharks"", ""kelp"", ""anchovies"", ""starfish""]",2,openbookqa
What happens when man moves into new environments?,"[""native species go wild"", ""native species thrive more"", ""native species grow large"", ""native species loses home""]",3,openbookqa
What are hydrocarbons that contain only single bonds between carbon atoms called?,"[""caloric hydrocarbons"", ""unsaturated hydrocarbons"", ""carcinogenic hydrocarbons"", ""saturated hydrocarbons""]",3,sciq
Which season is it for Australians in July?,"[""Spring"", ""Fall"", ""Winter"", ""Summer""]",2,openbookqa
What type of inheritance controls blood types in humans?,"[""incomplete dominance"", ""polygenic inheritance"", ""multiple alleles"", ""recessive genes""]",2,arc_easy
"While similar to insects, what eight-legged invertebrates lack antennae or wings?","[""spiders"", ""arachnids"", ""crustaceans"", ""reptiles""]",1,sciq
What type of animals breathe with gills as larvae and with lungs as adults?,"[""insects"", ""reptiles"", ""amphibians"", ""mammals""]",2,sciq
What is cytology.,"[""the study of cancers"", ""the study of cell structure"", ""the study of plants"", ""the study of atomic structure""]",1,sciq
"If a tree is being discussed and those talking want to know its age, they will","[""think about it"", ""bury it"", ""look at leaves"", ""look inside it""]",3,openbookqa
Which of these is a place where a human might live?,"[""igloo"", ""cloud"", ""Mars"", ""the Moon""]",0,openbookqa
"If the number of trees significantly decreases, the atmosphere's level of which gas might significantly increase?","[""nitrogen"", ""carbon dioxide"", ""carbon monoxide"", ""hydrogen""]",1,arc_easy
What is the most important source of electromagnetic waves on earth?,"[""clouds"", ""the ocean"", ""the sun"", ""the moon""]",2,sciq
"Cirrus, stratus, and cumulus are the main types of what?","[""weather"", ""storms"", ""clouds"", ""climate""]",2,sciq
Which theory explains how materials can collide and become new materials?,"[""pileup theory"", ""collision theory"", ""rupture theory"", ""disturbance theory""]",1,sciq
Which disease is correctly paired with the cause of the disease?,"[""athlete's foot - fungi"", ""malaria - viruses"", ""influenza - bacteria"", ""pneumonia - protists""]",0,arc_easy
Which likely would be considered in drought conditions?,"[""a tundra without water"", ""a desert without water"", ""a house without water"", ""a lake without water""]",3,openbookqa
Which is the most important reason for scientists to publish their data and findings that result from a scientific investigation?,"[""to become famous"", ""to get paid for their research"", ""to allow other scientists to try to replicate their results"", ""to gain respect from their peers in the scientific community""]",2,arc_easy
A heavy glacier moving across a continent affects what's underneath it by,"[""compaction"", ""salt tectonics"", ""arctic foxes"", ""exfoliation""]",0,openbookqa
What is the most abundant biochemical compound?,"[""soil"", ""methane"", ""tissue"", ""cellulose""]",3,sciq
"Biochemical compounds that include sugars, starches, and cellulose are examples of what?","[""electrolytes"", ""lipids"", ""carbohydrates"", ""proteins""]",2,sciq
Which statement describes the weather when water droplets in clouds become heavy and the temperature is 20°C (68°F)?,"[""It is clear and breezy."", ""It is raining."", ""It is snowing."", ""It is sunny and clear.""]",1,arc_easy
The nervous system is made up of these?,"[""neurons"", ""blood cells"", ""muscles"", ""fibers""]",0,sciq
Electronegativity is a qualitative measure of how much an atom attracts what in a covalent bond?,"[""neutrons"", ""electrons"", ""isotopes"", ""protons""]",1,sciq
The bending of a wave around the edges of an opening or an obstacle is called this?,"[""reflection"", ""sputtering"", ""absorption"", ""diffraction""]",3,sciq
Which of the following laboratory practices should be avoided?,"[""pouring water into an acid"", ""pouring a base into water"", ""pouring water into alcohol"", ""pouring alcohol into a base""]",0,arc_easy
Chemical and solar cells are devices that change chemical or light energy to what?,"[""cellular"", ""occurring energy"", ""electrical energy"", ""temperature energy""]",2,sciq
Which stage is specialized for dispersal & reproduction?,"[""fetal stage"", ""larval stage"", ""cocoon stage"", ""adult stage""]",3,sciq
A leaf absorbs sunlight to perform photosynthesis until,"[""a lounge chair obstructs the solar rays"", ""solar lights line a path"", ""solar panels are placed on the roof"", ""solar tea is served in the garden""]",0,openbookqa
What is the name for birds that live on water like ducks?,"[""gamefowl"", ""guineafowl"", ""waterfowl"", ""landfowl""]",2,sciq
Water plus other substances makes what?,"[""oil"", ""solution"", ""element"", ""mixture""]",1,sciq
In which way do particles of water move in deep water?,"[""currents"", ""parabolas"", ""circles"", ""ellipses""]",2,sciq
Glucose is an example of what simple carboyhydrates with relatively few carbon atoms?,"[""sugars"", ""mixtures"", ""acids"", ""solvents""]",0,sciq
Which body system is directly threatened when bacteria infect the lungs?,"[""muscular"", ""nervous"", ""respiratory"", ""excretory""]",2,arc_easy
the ring of fire is made up of,"[""kelp"", ""immersed lava vents"", ""marshmallows"", ""ice formations""]",1,openbookqa
"Using what the surface of the Earth is made of, you could build","[""a tire"", ""computer"", ""a castle"", ""a telephone""]",2,openbookqa
"During the typical human female ovulation cycles, how many eggs are released?","[""four"", ""two"", ""one"", ""three""]",2,sciq
Where in the world will a person have the smallest shadow at noon?,"[""the arctic circle"", ""the south pole"", ""the north pole"", ""near the equator""]",3,openbookqa
An object can be seen if it reflects light toward what?,"[""visual organ"", ""eye spy"", ""feet"", ""brain""]",0,openbookqa
"The human body is made up of several systems. The mouth, esophagus, and stomach are all parts of which system?","[""circulatory"", ""digestive"", ""nervous"", ""skeletal""]",1,arc_easy
What is the union of the cytoplasms of two parent mycelia known as?,"[""plasmogamy"", ""spirogyra"", ""xerophyte"", ""plasmology""]",0,sciq
Smoking can also effect what besides themselves,"[""wizards"", ""space"", ""Jonny and Susie"", ""unicorns""]",2,openbookqa
What does the stomach produce to help digest food?,"[""acetic acid"", ""lactic acid"", ""hydrochloric acid"", ""amino acid""]",2,sciq
What does the megaspore mother cell produce after meiosis division?,"[""four diploid megaspores"", ""two diploid megapores"", ""two haploid megaspores"", ""four haploid megaspores""]",3,sciq
"A snowball is made the exact size of a golf ball. Both the golf ball and the snowball are dropped from the same height onto a concrete sidewalk. The snowball breaks, but the golf ball bounces. Which of the following best describes a reason for the difference in reaction of the two balls?","[""The snowball is colder than the golf ball."", ""The snowball is less dense then the golf ball."", ""The effects of friction are greater on the golf ball."", ""The effects of Earth's gravity are greater on the snowball.""]",1,arc_easy
Corals build hard exoskeletons that grow to become what?,"[""algae"", ""stability reefs"", ""fungi"", ""coral reefs""]",3,sciq
A crater can usually be found on the top of what kind of volcanoes?,"[""Shield"", ""composite"", ""Compound"", ""Dome""]",1,sciq
During a thunderstorm an animal is most likely going to relocate to a,"[""cave"", ""beach"", ""mountain"", ""pond""]",0,openbookqa
"Machines are often full of moving parts that rub against each other. In machines, a lubricant such as oil is often applied to these moving parts. Why is this oil necessary?","[""to enhance the effectiveness of friction"", ""to increase the efficiency of the machine"", ""to provide an additional source of energy"", ""to produce more thermal energy on the machine""]",1,arc_easy
What system of the body uses amylase and pepsin in its functioning?,"[""respiratory system"", ""digestive system"", ""hormonal system"", ""circulatory system""]",1,sciq
Which muscular organ pumps blood all around your body?,"[""stomach"", ""lungs"", ""heart"", ""pancreas""]",2,sciq
How many dimensions can humans see in?,"[""five"", ""two"", ""three"", ""one""]",2,sciq
What kind of resource is soil?,"[""renewable"", ""finite"", ""viable"", ""nonrenewable""]",0,sciq
Two parent butterflies with normal wings have offspring with altered wing shapes. What most likely caused this change?,"[""speciation"", ""an adaptation"", ""natural selection"", ""a genetic mutation""]",3,arc_easy
Sydney is learning about the sources of energy that can run out. Which energy source will run out the fastest?,"[""flowing water"", ""natural gas"", ""sunlight"", ""wind""]",1,arc_easy
Which of the following is not passed from parents to children?,"[""hair color and freckles"", ""a scar on the knee"", ""the need to breathe air"", ""the ability to roll the tongue""]",1,arc_easy
"An astronomer and a marine biologist were having lunch and discussing their current experiments. They discovered that although they investigate different areas of science, they most likely use the same","[""scientific tools used in experiments."", ""publications for conducting research."", ""scientific method to test hypotheses."", ""locations for conducting their experiments.""]",2,arc_easy
At what time would a person feel the most heat outside?,"[""noon"", ""midnight"", ""morning"", ""evening""]",0,openbookqa
The nail bed is a specialized structure of the epidermis that is found at the tips of our what?,"[""fingers, nails, and scalp"", ""fingers and toes"", ""only fingers"", ""only nails""]",1,sciq
Tar sands are rocky materials mixed with what?,"[""shale"", ""very thick oil"", ""magma"", ""coal""]",1,sciq
What bifurcates into the right and left bronchi in the lungs?,"[""neck"", ""aorta"", ""cornea"", ""trachea""]",3,sciq
The skeletal system protects,"[""pancreas"", ""toenails"", ""eyes"", ""hair""]",0,openbookqa
What is the term for the moles of solute divided by the kilograms of solvent?,"[""molar solvency"", ""molality"", ""kilocalorie"", ""molar weight""]",1,sciq
"By applying salt to an icy road, the melting point of the ice is what?","[""decreased"", ""compounded"", ""increased"", ""concentrated""]",0,sciq
Most air masses form over what two types of regions?,"[""arctic and marine"", ""polar and arctic"", ""marine and tropical"", ""polar and tropical""]",3,sciq
Proteins are organic compounds made up of what type of acids?,"[""nucleic"", ""enzyme"", ""lactic"", ""amino""]",3,sciq
"Friendly bacteria live mostly in the large intestine and part of the small intestine, because what organ is too acidic?","[""skin"", ""stomach"", ""liver"", ""rectum""]",1,sciq
What are the three types of symbiotic relationships?,"[""mutualism, communalism, parasitism"", ""symbiosis , communalism , parasitism"", ""altruism, conservatism, communalism"", ""pledgism, truism, greenism""]",0,sciq
The piping plover is a bird that builds its nest on sand dunes along the Atlantic Ocean. Which of these actions most likely damages the nests of the piping plover?,"[""people fishing from a boat"", ""children playing in the ocean waves"", ""children digging holes along the sand dunes"", ""people walking on a sidewalk along the sand dunes""]",2,arc_easy
Earth can be viewed as an engine and heat exchange is part of the engine system. Which would be an example of a transfer of energy from the atmosphere to the lithosphere?,"[""A volcano erupts in the state of Washington."", ""An earthquake takes place off the coast of Japan."", ""A wild fire scorches a prairie in the upper Midwest."", ""A hurricane moves from the Gulf of Mexico onto land.""]",3,arc_easy
What is calculated by subtracting the smallest value from the largest value?,"[""the sample"", ""the density"", ""the range"", ""the median""]",2,sciq
"In the 20th century, Edwin Hubble deduced from observations that there are galaxies other than the Milky Way. Hubble's observations depended on improvements in a technology first developed by which scientist?","[""Democritus"", ""Isaac Newton"", ""Galileo Galilei"", ""Anton Van Leeuwenhoek""]",2,arc_easy
Processes in the food chain begin with,"[""leafy flora"", ""purple horseshoes"", ""yellow bees"", ""breakfast""]",0,openbookqa
What is a measure of the size of sound waves?,"[""amplitude"", ""wavelength"", ""frequency"", ""voltage""]",0,sciq
Some processes that shape Earth's surface are slow. Other processes are rapid. Which statement describes a rapid change?,"[""Glaciers melt and form rivers."", ""Wind weathers rocks into sand."", ""Earthquakes move land and rocks."", ""Rivers carry sediment and build deltas.""]",2,arc_easy
What is a defining feature of deformed sedimentary rocks?,"[""not horizontal"", ""only horizontal"", ""not magnetic"", ""not solid""]",0,sciq
Which animal is warm blooded?,"[""salamander"", ""toad"", ""parakeet"", ""tadpole""]",2,openbookqa
Many things happen when the seasons change. One example is when plants go from big and bloomed to,"[""space"", ""bigger"", ""dead"", ""gigantic""]",2,openbookqa
What is a type of solid that lacks an ordered internal structure?,"[""ice"", ""an amorphous solid"", ""an elastic solid"", ""a sponge""]",1,sciq
What is the transfer of thermal energy between particles of matter that are touching called?,"[""convection"", ""conduction"", ""radiation"", ""activation""]",1,sciq
What do we call the only light that people can see?,"[""visible light"", ""spectral light"", ""natural light"", ""wave light""]",0,sciq
"Studies of snail fossils in Egypt indicate that areas of Egypt that are now desert were once thriving savannahs approximately 130,000 years ago. What does the presence of these fossils indicate about the area of Egypt that was thriving 130,000 years ago?","[""There was more humidity in the air."", ""There were fewer nutrients in the soil."", ""There was more snowfall in the region."", ""There was less solar radiation in the region.""]",0,arc_easy
"If acorns are moved around a neighborhood, then the most reasonable culprit is","[""snakes"", ""ferrets"", ""sharks"", ""bees""]",1,openbookqa
"Further transformation occurs during organogenesis, the formation of what?","[""organs"", ""muscles"", ""bones"", ""arteries""]",0,sciq
Species distributions are a consequence of both ecological and evolutionary what?,"[""fluctuations"", ""particles"", ""interactions"", ""isolation""]",2,sciq
What two forces tend to keep an animal stationary and thus oppose locomotion?,"[""friction and gravity"", ""thickness and gravity"", ""stength and gravity"", ""workload and gravity""]",0,sciq
What is the source of energy for life on earth?,"[""rivers"", ""planets"", ""astral star"", ""mountains""]",2,openbookqa
"In cellular respiration, glucose is broken down and what is made?","[""chlorophyll"", ""atp"", ""rna"", ""simple sugars""]",1,sciq
The formation of an ionic bond involves the,"[""transfer of electrons."", ""sharing of neutrons."", ""transfer of neutrons."", ""sharing of protons.""]",0,arc_easy
What is the term for many different types of animals within the same species?,"[""pollution"", ""habitat"", ""diversity"", ""differentiation""]",2,sciq
The condition of the air outdoors at a certain time of day is known as,"[""friction"", ""light"", ""force"", ""weather""]",3,arc_easy
"Mitosis and meiosis are two types of what process, with dramatically different products?","[""cell division"", ""cell solution"", ""cell diffusion"", ""cell transition""]",0,sciq
Diamonds are made and dispersed by,"[""volcanoes"", ""gypsies"", ""giants"", ""clouds""]",0,openbookqa
An animal would have its inner parts better protected if it had which of these?,"[""a backpack on its back"", ""a calcium fortified internal structure"", ""none of these"", ""a shell of cotton""]",1,openbookqa
Which of the following likely make up a path for electrical energy to travel to a device?,"[""steel or copper"", ""rice or beans"", ""peaches or cream"", ""cotton and solar""]",0,openbookqa
Owls are likely to hunt at,"[""3pm"", ""2am"", ""6pm"", ""7am""]",1,openbookqa
What tube carries urine out of the body?,"[""urethra"", ""uterus"", ""kidney"", ""fallopian tube""]",0,sciq
What can occur during periods of heavy rain?,"[""volcanoes"", ""floods"", ""earthquakes"", ""glaciers""]",1,sciq
What type of x-linked trait is color blindness?,"[""conscientiousness trait"", ""dominant"", ""predominant"", ""recessive""]",3,sciq
About one-third of the human cerebral cortex is dedicated to analyzing and perceiving information related to what sense?,"[""vision"", ""touch"", ""taste"", ""hearing""]",0,sciq
"Coal, oil, and natural gas are examples of what, which forms when organic matter is under pressure for millions of years?","[""complex carbohydrates"", ""fossil fuels"", ""nuclear fission"", ""solar fuels""]",1,sciq
Most hybrids are sterile because what genetic structures are not homologous and cannot pair during meiosis?,"[""zygotes"", ""chromosomes"", ""phenotypes"", ""ribosomes""]",1,sciq
"Speciation, convergent evolution, and coevolution are types of what process?","[""devolution"", ""macroevolution"", ""microevolution"", ""systemic evolution""]",1,sciq
"When entire communities in an ecosystem change over time, it is known as","[""migration."", ""extinction."", ""overpopulation."", ""ecological succession.""]",3,arc_easy
"Just under their skin, marine mammals have a very thick layer of insulating fat called what?","[""tissue"", ""lipisomes"", ""cellulose"", ""blubber""]",3,sciq
Why will water balloons launched into the air eventually burst?,"[""expansion"", ""momentum"", ""friction"", ""heat""]",0,sciq
The alimentary canal is associated with what organ system?,"[""digestive"", ""nervous"", ""cardiovascular"", ""respiratory""]",0,sciq
A skunk produces a bad what?,"[""job"", ""plastic"", ""energy"", ""nose experience""]",3,openbookqa
"Benjamin Franklin invented many different things. Among his inventions were bifocal glasses, the lightning rod, and a type of iron stove. Which personal quality most likely led to the invention of these things?","[""humor"", ""honesty"", ""curiosity"", ""leadership""]",2,arc_easy
Tree rings can,"[""indicate how often the tree needs pruning"", ""tell you what year a tree was planted"", ""tell you how tall a tree is"", ""indicate the year the tree will die""]",1,openbookqa
In the desert it was harder to find a,"[""stream"", ""cactus"", ""dry bed"", ""canyon""]",0,openbookqa
"This calcification prevents diffusion of nutrients into the matrix, resulting in what dying and the opening up of cavities in the diaphysis cartilage?","[""chondrocytes"", ""phytocytes"", ""keratinocytes"", ""nanoparticles""]",0,sciq
"When pressure is released along a fault line, the energy produced spreads as mechanical waves in the form of an earthquake. The mechanical waves transferred to the air become","[""sound."", ""electricity."", ""light."", ""heat.""]",0,arc_easy
An example of an electrical conductor could be,"[""wood"", ""ice"", ""coin"", ""rubber""]",2,openbookqa
"Dr. Wagner is investigating a newly discovered, disease-causing agent. She determines that one structure in the agent is double-stranded RNA. What kind of agent is Dr. Wagner studying?","[""a virus"", ""a protist"", ""a fungus"", ""a bacterium""]",0,arc_easy
Which resource is considered nonrenewable?,"[""wind power"", ""solar energy"", ""moving water"", ""fossil fuels""]",3,arc_easy
What are the building blocks of life?,"[""muscles"", ""cells"", ""bricks"", ""seeds""]",1,sciq
What is a good example of camouflage?,"[""when a creature adjusts the shape and color of its body to appear as something else"", ""when a rabbit hides in a patch of grass"", ""when a cat presses its body flat to the ground to hide"", ""when a fish swims with a large group of fish to hide itself""]",0,openbookqa
crops need to be switched on a continual basis why?,"[""the animal habitats"", ""for more pests"", ""bees and birds"", ""more wanted vitamins""]",3,openbookqa
"A male bird spots a female of his species and begins a fancy dance, flashing his bright feathers around in the air, showing off. This male is attempting to procure","[""a manager"", ""an agent"", ""a meal"", ""a reproductive companion""]",3,openbookqa
A hermit crab may find good protection from elements in,"[""a mountain lion"", ""a sky color"", ""a stone configuration"", ""a mouse carcass""]",2,openbookqa
The rocks that form most of the Sierra Nevada are granitic rocks. This means that the mountains were most likely formed by,"[""strike-slip faults."", ""transform boundaries."", ""volcanic activity."", ""land subsidence.""]",2,arc_easy
What kind of energy causes evaporation?,"[""hotness"", ""sound"", ""cold"", ""kinetic""]",0,openbookqa
What helps represent age-sex structure of the population?,"[""population pyramid"", ""density graph"", ""biome model"", ""habitat chart""]",0,sciq
The sum of the masses of the atoms in the formula is referred to as what?,"[""nucleus mass"", ""magnetic mass"", ""atomic mass"", ""molecular mass""]",3,sciq
"If a thing is going to be a planet, it must orbit in a certain amount of time, which can exclude","[""mercury"", ""the ninth planet"", ""the third planet"", ""venus""]",1,openbookqa
Rocks and minerals are common materials found on Earth. Which property do most rocks and minerals share?,"[""They are pure."", ""They are solid."", ""They are liquid."", ""They are magnetic.""]",1,arc_easy
Which substance do all living things require to survive?,"[""blood"", ""water"", ""carbon dioxide"", ""organic soil""]",1,arc_easy
What do you get by multiplying volume by the density of water?,"[""velocity of water"", ""temperature of water"", ""weight of water"", ""mass of water""]",3,sciq
What substance do the leaves of plants take in from the environment?,"[""oxygen"", ""hydrogen"", ""acid rain"", ""carbon dioxide""]",3,sciq
They had demonstrated that particles smaller than bacteria cause what?,"[""blood"", ""flight"", ""damage"", ""disease""]",3,sciq
"What term means a reproductive cell, like the human egg in females?","[""embryo"", ""zygote"", ""sperm"", ""gamete""]",3,sciq
Smoothing will occur,"[""if two pebbles rub together over long periods of time"", ""if an abrasive is rubbed against cement"", ""if flint is struck against stone"", ""if bricks are thrown at each other""]",0,openbookqa
What term is used to describe muscle fibers that allows muscles to contract?,"[""organelle"", ""fluorescence"", ""ligaments"", ""organisms""]",0,sciq
"What is the term for protists that produce spores, such as the toxoplasm?","[""protozoans"", ""spermatozoa"", ""sporozoans"", ""newborns""]",2,sciq
What is glucose used for the bacteria?,"[""reproduction"", ""fuel"", ""energy"", ""food""]",3,sciq
"When the old man was much younger, he still had","[""brown eyes"", ""baldness"", ""gray hair"", ""wrinkled skin""]",0,openbookqa
"What arises due to crossing over, independent assortment, and the random union of gametes?","[""genetic variation"", ""recessive variation"", ""alternative variation"", ""susceptible variation""]",0,sciq
What do you call a predator species that affects other species' populations when its own population size changes?,"[""paradox species"", ""symbiotic species"", ""keystone species"", ""complement species""]",2,sciq
"In weather terms, what do you call the boundary between two air masses?","[""cloud"", ""mass"", ""cover"", ""front""]",3,sciq
What is the first phase of mitosis?,"[""metaphase"", ""telophase"", ""meiosis"", ""prophase""]",3,sciq
What anatomical system is made up of neurons and glia?,"[""reproductive system"", ""lymphatic system"", ""nervous system"", ""digestive system""]",2,sciq
"Bones, cartilage, and what other thing make up the skeletal system?","[""ligaments"", ""organs"", ""lungs"", ""muscles""]",0,sciq
"Sponges are part of what phylum, which gets its name from the latin for ""having pores""?","[""mammalia"", ""porifera"", ""annelida"", ""chordata""]",1,sciq
How are the fetuses of eutherian mammals connected to their mothers during gestation?,"[""visual placenta"", ""complex placenta"", ""Movement Placenta"", ""altered placenta""]",1,sciq
"As the amount of fragrance of a flower increases, the better chances it has at","[""growing"", ""dying"", ""reproducing"", ""looking pretty""]",2,openbookqa
The migration of what familiar coastal landform involves saltation and gravity?,"[""sand dunes"", ""lakes"", ""rivers"", ""volcanos""]",0,sciq
Which organism cannot specialize?,"[""mammal"", ""plant"", ""fish"", ""protozoa""]",3,openbookqa
"Adding heat energy to something can cook it, such as heating","[""ice"", ""wood"", ""seashells"", ""cookie dough""]",3,openbookqa
"if a person looked a their head in a mirror, and moved toward it, what would happen?","[""the head would start to grow"", ""the head would disappear"", ""the head would start to shrink"", ""the head would explode""]",0,openbookqa
What causes lightning during a thunderstorm?,"[""difference in charge"", ""difference in elevation"", ""difference in temperature"", ""difference in wind""]",0,sciq
What type of organism was the only able to live in the anoxic atmosphere of the first 2 billion years?,"[""aerobic"", ""anaerobic"", ""mammals"", ""protists""]",1,sciq
the Earth rotating on its axis causes stars to appear to move across the sky when?,"[""sleeping hours"", ""sun time"", ""day"", ""daytime""]",0,openbookqa
A magnet will stick to,"[""a belt buckle"", ""a wooden table"", ""a plastic cup"", ""a paper plate""]",0,openbookqa
"Traveling in opposite directions, buses A and B are passing each other at the relative speed of 25 km/h, while a passenger on bus A walks toward the back of the bus at the speed of 5 km/h. What is the velocity of the passenger on bus A relative to bus B?","[""20 km/h in the direction of bus A"", ""20 km/h in the direction of bus B"", ""30 km/h in the direction of bus A"", ""30 km/h in the direction of bus B""]",0,arc_easy
What is the sac-like organ at the end of the esophagus?,"[""rectum"", ""stomach"", ""appendix"", ""larynx""]",1,sciq
What is in the inside of your mouth and nose instead of skin?,"[""scales"", ""mucous membranes"", ""cuticle layer"", ""gums""]",1,sciq
A frog would most likely eat,"[""a cockroach"", ""another frog"", ""a maple leaf"", ""a mouse""]",0,openbookqa
Microevolution occuring and taking place over many generations results in?,"[""fission"", ""macroevolution"", ""recalibration"", ""microinjection""]",1,sciq
What is it called when the soils of the arctic tundra remain in a perennially frozen state?,"[""concentrated freeze"", ""permafreeze"", ""permafrost"", ""glacial domination""]",2,sciq
How hot is it on the surface of the Sun?,"[""Not quite as hot as boiling water"", ""About as hot as fire"", ""About 100\u00b0F"", ""Much hotter than almost anything on Earth""]",3,arc_easy
A reflective surface fogging up is,"[""reflection"", ""refraction"", ""evaporation"", ""condensation""]",3,openbookqa
"Old, worn-out rubber tires are called scrap tires. Which way of disposing of scrap tires is best for the environment?","[""burning the tires"", ""dumping the tires in a lake"", ""burying the tires in a landfill"", ""taking the tires to a recycling center""]",3,arc_easy
What is the formation of organs from the germ layers called?,"[""organogenesis"", ""synaptogenesis"", ""biosynthesis"", ""photosynthesis""]",0,sciq
"Sympathetic stimulation also triggers the release of epinephrine and norepinephrine, which enhance both cardiac output and what else?","[""vasoconstriction"", ""inhibition"", ""digestion"", ""vasodilation""]",0,sciq
What type of transport occurs when substances cross the plasma membrane without any input of energy from the cell?,"[""passive transport"", ""wave diffusion"", ""active transport"", ""physical transport""]",0,sciq
What piece of technology can you use to see infrared light?,"[""light meters"", ""microscope"", ""night goggles"", ""telescope""]",2,sciq
What kind of variation does a rate measure?,"[""environment to time"", ""value to time"", ""construction to time"", ""property to time""]",3,sciq
"If something breathes, it","[""uses unusable byproduct"", ""lives in trash"", ""scraps unusable byproduct"", ""moves around frequently""]",2,openbookqa
What pathway in a plant do water and nutrients travel through from the roots to the leaves?,"[""bark"", ""stem"", ""skin"", ""flowers""]",1,sciq
The amniotes are distinguished from amphibians by the presence of a terrestrially adapted egg protected by what?,"[""hard shell"", ""yolk"", ""albumen"", ""amniotic membranes""]",3,sciq
What do you call the carbohydrate formed when two monosaccharides bond together?,"[""calcite"", ""glucose"", ""disaccharide"", ""hydroxyl""]",2,sciq
birds use their peckers to catch,"[""dogs"", ""a tan"", ""a ball"", ""bees""]",3,openbookqa
What term describes the number of items in a given area or volume?,"[""concentration"", ""fraction"", ""density"", ""alkalinity""]",0,sciq
What is the ratio of solutes in a solution to a volume of solvent in a solution known as?,"[""equilibrium"", ""osmolality"", ""molality"", ""molarity""]",1,sciq
What occurs when two free radicals come in contact with each other?,"[""assimilation"", ""radiation"", ""termination"", ""cancellation""]",2,sciq
Which method would be best for scientists to use to determine the absolute age of a Precambrian igneous rock?,"[""index fossils"", ""law of superposition"", ""radiometric dating"", ""law of original horizontality""]",2,arc_easy
"What is a small, spherical compartment separated by at least one lipid layer from the cytosol?","[""vesicle"", ""cuticle"", ""cortex"", ""capillary""]",0,sciq
Wavelengths are described by a unit of what?,"[""weight"", ""direction"", ""distance"", ""speed""]",2,sciq
"During photosynthesis, what is energy from the sun converted to after entering a plant?","[""glucose"", ""chloride"", ""Proteins"", ""Carbon""]",0,sciq
Rust consists of oxides of what element?,"[""Copper"", ""Gold"", ""iron"", ""Aluminum""]",2,sciq
Solar and wind are still expensive compared to what?,"[""electricity"", ""coal fuels"", ""batteries"", ""fossil fuels""]",3,sciq
What are plants in the diploid generation called?,"[""keratinocytes"", ""sporophytes"", ""monocots"", ""haplocytes""]",1,sciq
Claw hammers and pulleys are examples of simple machines that do what to the direction of force applied by the user?,"[""reverse it"", ""maintain it"", ""nothing"", ""neutralize it""]",0,sciq
What is necessary for new alleles to be created?,"[""new mutations"", ""new rna"", ""new frequencies"", ""cross-pollination""]",0,sciq
Who stalks dragonflies south?,"[""clouds"", ""electricity"", ""kestrels"", ""polar bears""]",2,openbookqa
The addition of starting materials and the removal of end products prevent metabolism from reaching what state?,"[""equilibrium"", ""inequality"", ""imbalance"", ""constant""]",0,sciq
Most people can survive only a few days without what essential substance?,"[""air"", ""food"", ""carbon"", ""water""]",3,sciq
Amylose and amylopectin are the two most common components of naturally occurring what?,"[""protein"", ""carbon"", ""starch"", ""chromosomes""]",2,sciq
Which of these are inherited instead of acquired?,"[""wealth"", ""height"", ""prison time served"", ""wisdom""]",1,openbookqa
No chemical process on the planet can match the output of what process?,"[""sexual reproduction"", ""photosynthesis"", ""pollination"", ""glycolysis""]",1,sciq
If a head is exceptionally round,"[""that is an unusual feature"", ""most heads are round"", ""a parent probably had a round head"", ""there is fluid on the brain""]",2,openbookqa
"In gas exchange, oxygen flows into the blood, and what flows out?","[""naturally dioxide"", ""carbon monoxide"", ""liquid dioxide"", ""carbon dioxide""]",3,sciq
What term is used to describe the process of removing wastes and excess water from the body?,"[""diffusion"", ""digestion"", ""aeration"", ""excretion""]",3,sciq
What substances function as a long-term energy store in the human body and possess long carbon chains that prevent dissolving in water?,"[""hydrocarbons"", ""steroids"", ""triglycerides"", ""nanoparticles""]",2,sciq
"What is a long, tube-shaped bundle of neurons, protected by the vertebrae?","[""the spinal cord"", ""an axon"", ""a dendrite"", ""a ganglion""]",0,sciq
How many sets of chromosomes does each somatic cell have?,"[""one"", ""four"", ""two"", ""six""]",2,sciq
What do stored fats provide our body with for later use?,"[""energy"", ""hydrogen"", ""water"", ""metals""]",0,sciq
In which of the following taxonomic groups would organisms have the least number of similarities?,"[""kingdom"", ""class"", ""family"", ""genus""]",0,arc_easy
